Id;SectionId;PartId;PartNumber;PageNumber;StartPageNumber;Additional_Info;Quantity;Remarks
1;31;1;06-5638;81;80;MPH;1;
2;33;2;06-8019;85;84;;1;Europe, except France
3;33;3;06-8020;85;84;;1;France
4;33;4;06-8024;85;84;;1;Canada only
5;27;5;06-8029;73;72;;1;
6;33;6;06-8048;85;84;;1;Europe
7;27;7;06-8058;73;72;;1;
8;26;16;14-0101;71;70;rear stay to blade;2;Bolt, rear stay to blade
9;26;16;14-0101;71;70;;2;Fender top fixing
10;24;16;14-0101;67;66;;4;Hinge Attachment
11;23;16;14-0101;65;62;mounting to coil tray;1;"1/4"" UNF x 5/8"" UH"
12;26;16;14-0101;71;70;;4;Number plate attachment
13;32;17;14-0102;83;82;;1;Coil and tool tray attachment, rear.
14;27;17;14-0102;73;72;;4;No. plate brackets and support plate to fender
15;25;17;14-0102;69;68;;4;
16;18;17;14-0102;49;48;;4;Muffler to hanger
17;26;17;14-0102;71;70;;2;Bridge to fender
18;26;17;14-0102;71;70;;2;Grab rail to fender
19;23;17;14-0102;65;62;body to mounting;1;"1/4"" UNF x 5/8"" UH"
20;26;18;14-0103;71;70;bridge piece to fork leg;2;
21;23;18;14-0103;63;62;adjuster,stop light;1;"1/4"" UNF x 3/8"" U.H ."
22;32;18;14-0103;83;82;;2;Horn attachment
23;21;18;14-0103;57;56;;2;Bracket to fork leg and bridge piece
24;22;19;14-0107;61;60;"chain adjuster (1/4"" UNF x 1 1/2"" UH)";2;
25;24;20;14-0113;67;66;;2;
26;26;21;14-0114;71;70;;2;Fender front fixing
27;15;21;14-0114;43;42;;1;Prop stand stop
28;23;21;14-0114;65;62;master cylinder/plate fixing rear;1;
29;17;22;14-0115;47;46;;4;Rear motor plates to frame
30;17;23;14-0116;47;46;;1;Rear motor plates to frame
31;17;25;14-0129;47;46;;1;Bracket to frame
32;14;26;14-0201;41;40;;1;
33;16;27;14-0206;45;44;chainguard fixing front;1;
34;9;28;14-0208;31;30;;1;
35;17;29;14-0216;47;46;;2;Footrest swivel
36;18;31;14-0217;49;48;;2;Exhaust pipes to coupling pipe
37;25;34;14-0218;69;68;;2;All models - left assy to right assy
38;18;36;14-0219;49;48;;2;Exhaust pipes to mufflers
39;17;39;14-0220;47;46;;2;Motor to motor plates
40;25;42;14-0221;69;68;;2;All models - Cover to body
41;17;42;14-0221;47;46;;2;Motor to motor plates
42;2;45;14-0230;11;10;long,crankcase halves;1;
43;23;46;14-0232;63;62;caliper to mounting;2;
44;19;47;14-0234;51;50;;1;
45;16;47;14-0234;45;44;damper,lower;2;
46;16;48;14-0235;45;44;damper,top;2;
47;19;50;14-0237;51;50;RIGHT;1;
48;5;54;14-0241;19;18;cylinder head;4;
49;6;54;14-0241;23;22;cylinder head;4;
50;17;58;14-0254;47;46;;1;Motor fixing front
51;17;60;14-0259;47;46;left;1;
52;17;62;14-0261;47;46;right;1;
53;27;64;14-0301;73;72;;1;Tail lamp support to fender
54;12;64;14-0301;37;36;;4;
55;23;64;14-0301;63;62;adjuster screw;1;"1/4"" UNF"
56;22;64;14-0301;61;60;"chain adjuster screw (1/4"" UNF)";2;
57;5;64;14-0301;19;18;;6;
58;6;64;14-0301;23;22;;6;
59;25;65;14-0302;69;68;;2;All models - Cover to body
60;24;65;14-0302;67;66;;1;
61;19;65;14-0302;51;50;;8;
62;17;66;14-0304;47;46;;1;Motor to frame centre bottom
63;15;69;14-0402;43;42;;1;Prop stand stop
64;2;69;14-0402;11;10;exhaust ties;2;
65;13;70;14-0403;39;38;;1;
66;33;71;14-0404;87;84;;6;Flasher lamp stanchion
67;14;74;14-0702;41;40;;3;
68;19;77;14-1019;51;50;;2;
69;19;78;14-1034;51;50;;2;
70;26;79;14-1201;71;70;;5;
71;18;79;14-1201;49;48;;2;
72;21;79;14-1201;57;56;;1;
73;18;79;14-1201;49;48;;4;Muffler to hanger
74;18;80;14-1202;49;48;;2;Exhaust pipes to coupling pipe
75;18;80;14-1202;49;48;;2;Exhaust pipes to mufflers
76;23;81;14-1203;63;62;caliper to mounting plate bolt;2;
77;32;83;14-1301;83;82;;1;Coil and tool tray attachment, rear.
78;4;83;14-1301;17;16;Carb. to manifold;2;T140V
79;27;83;14-1301;73;72;;4;No. plate brackets and support plate to fender
80;4;83;14-1301;17;16;Carberator to manifold and head;4;T140V
81;26;83;14-1301;71;70;;2;Fender top fixing
82;26;83;14-1301;71;70;;2;Bridge to fender
83;26;83;14-1301;71;70;;2;Grab rail to fender
84;32;83;14-1301;83;82;;2;Horn attachment
85;33;83;14-1301;85;84;;1;Battery carrier mounting
86;26;83;14-1301;71;70;;4;Number plate attachment
87;15;84;14-1302;43;42;;4;Sump plate to frame
88;17;84;14-1302;47;46;;2;Footrest swivel
89;26;84;14-1302;71;70;;2;Fender front fixing
90;17;84;14-1302;47;46;;5;Rear motor plates to frame
91;17;84;14-1302;47;46;;4;Motor to motor plates
92;12;84;14-1302;37;36;;1;
93;25;84;14-1302;69;68;;2;
94;23;84;14-1302;63;62;cylinder to frame bolt;2;"5/16"" UNF self locking"
95;2;84;14-1302;11;10;;5;
96;23;84;14-1302;65;62;;1;
97;19;85;14-1303;51;50;;1;
98;17;85;14-1303;47;46;;2;Footrest to frame
99;16;85;14-1303;45;44;;1;
100;2;85;14-1303;11;10;;1;
101;19;85;14-1303;51;50;;2;
102;23;85;14-1303;63;62;brake pedal spindle,inner;1;
103;16;85;14-1303;45;44;damper,top;2;
104;16;85;14-1303;45;44;;2;
105;5;85;14-1303;19;18;Torque stay;2;
106;6;85;14-1303;23;22;Torque stay;2;
107;15;85;14-1303;43;42;;1;
108;28;85;14-1303;75;74;;2;
109;16;86;14-1304;45;44;torque stay to swinging arm;1;
110;15;86;14-1304;43;42;;2;
111;17;86;14-1304;47;46;;1;Motor fixing front
112;17;87;14-1305;47;46;;2;
113;16;89;14-1307;45;44;swinging arm pivot;1;
114;22;89;14-1307;61;60;"wheel spindle (5/8"" UNF self locking)";1;
115;5;90;14-1401;19;18;rocker box;6;
116;6;90;14-1401;23;22;rocker box;6;
117;2;91;14-1445;11;10;rear;1;
118;28;93;14-1901;75;74;pivot pin;1;
119;20;96;14-1903;55;54;;4;
120;22;96;14-1903;61;60;"disc/sprocket bolt (3/8"" UNF self locking)";4;
121;23;96;14-1903;63;62;brake pedal spindle,outer;1;
122;18;97;14-2205;49;48;;2;
123;26;97;14-2205;71;70;bridge piece to blade;3;
124;2;99;14-6101;13;10;;1;
125;5;101;14-6103;21;18;;8;
126;6;101;14-6103;25;22;;8;
127;4;102;14-6113;17;16;bracket to manifold;1;T140V
128;14;102;14-6113;41;40;primary cover;1;
129;26;103;14-6114;71;70;stay to spindle cap;2;
130;2;106;14-6220;11;10;top rear;1;
131;2;108;14-6223;11;10;top front;1;
132;2;110;14-6242;11;10;rear,crankcase halves;1;
133;5;113;14-6606;21;18;;4;
134;6;113;14-6606;25;22;;4;
135;9;115;14-6608;31;30;short;6;
136;14;115;14-6608;41;40;;6;
137;12;115;14-6608;37;36;;1;
138;9;116;14-6609;31;30;long;2;
139;12;116;14-6609;37;36;;2;
140;14;117;14-6620;41;40;;2;
143;27;121;14-7804;73;72;;1;
144;33;132;19-1191;85;84;;1;
145;33;133;19-1284;85;84;;1;Europe
146;33;134;19-1377;85;84;;4;
147;28;135;19-1961;75;74;right hand;1;
148;33;137;19-1962;87;84;;1;Not illustrated
149;33;138;19-1963;85;84;flasher lamp rear;2;
150;32;140;19-1964;83;82;;2;
151;28;141;19-1965;75;74;left hand;1;
152;8;143;19-2452;29;28;left;1;
153;8;145;19-2453;29;28;right;1;
154;7;147;19-2454;27;26;;1;
155;23;148;19-6901;63;62;;1;
156;21;148;19-6901;57;56;;2;
157;25;149;21 -0501;69;68;;2;All models - left assy to right assy
158;12;151;21-0541;37;36;;1;
159;2;152;21-0543;11;10;;1;
160;14;153;21-0544;41;40;;2;
161;12;153;21-0544;37;36;;1;
162;12;154;21-0547;37;36;;4;
163;15;155;21-0550;43;42;;2;
164;19;156;21-0578;51;50;;1;
165;13;157;21-0586;39;38;;1;
166;28;158;21-0589;75;74;;2;
167;11;159;21-0594;35;34;;1;
169;2;161;21-0669;11;10;crankcase halves;1;
170;5;163;21-0692;19;18;;4;
171;6;163;21-0692;23;22;;4;
172;32;164;21-0778;83;82;;2;Condenser attachment
173;32;164;21-0778;83;82;;2;Bracket to frame
174;31;164;21-0778;81;80;;4;For speedo and Tacho mounting (not illustrated)
176;2;166;21-1823;11;10;short-crankcase halves;2;
178;2;169;21-1863;11;10;;1;
179;3;170;21-1864;15;14;;2;
180;2;171;21-1865;11;10;;4;
181;2;172;21-1870;11;10;rear;1;
182;2;174;21-1871;11;10;;1;
183;2;175;21-1872;11;10;timing hole;1;
184;5;177;21-1875;19;18;rocker box;4;
185;6;177;21-1875;23;22;rocker box;4;
186;4;178;21-1876;17;16;;4;TR7RV
187;4;180;21-1877;17;16;;4;TR7RV
188;12;182;21-1879;37;36;;2;
189;3;183;21-1906;15;14;;2;
190;15;185;21-1908;43;42;;1;Junction block to crankcase
199;4;194;21-1996;17;16;carburetor to manifold;2;TR7RV
204;24;202;21-2064;67;66;tank badge;4;
205;15;204;21-2077;43;42;;2;
206;32;205;21-2079;83;82;;2;Condenser attachment
207;32;205;21-2079;83;82;;1;Flasher unit attach.
208;16;206;21-2087;45;44;swinging arm;1;
210;19;209;21-2102;51;50;;8;
211;15;210;21-2109;43;42;;4;Sump plate to frame
212;17;212;21-2112;47;46;;1;Motor to frame centre bottom
213;32;214;21-2120;83;82;spring to battery carrier;1;
214;32;214;21-2120;83;82;;2;Bracket to frame
215;13;216;21-2157;39;38;;3;
216;12;217;21-2162;37;36;;2;
217;5;218;21-2177;19;18;;4;
218;6;218;21-2177;23;22;;4;
219;1;219;21-2182;9;8;;1;
220;1;220;21-2183;9;8;;1;
221;19;221;21-2189;51;50;caliper to outer member;2;
222;21;223;21-2191;57;56;;1;
223;21;224;21-2192;57;56;short;2;
224;21;226;21-2194;57;56;long;2;
225;5;230;21-2197;19;18;Torque stay;2;
226;6;230;21-2197;23;22;Torque stay;2;
227;14;231;21-2198;41;40;;1;
228;14;232;21-2199;41;40;;2;
229;5;233;21-2200;19;18;cylinder head (5/16 in.);2;
230;6;233;21-2200;23;22;cylinder head (5/16 in.);2;
231;5;234;21-2201;19;18;cylinder head (3/8 in.);4;
232;6;234;21-2201;23;22;;4;
233;5;235;21-2204;19;18;;4;
234;6;235;21-2204;23;22;;4;
235;5;236;21-2205;19;18;;2;
236;6;236;21-2205;23;22;;2;
237;5;237;21-2206;19;18;rocker box;4;
238;6;237;21-2206;23;22;rocker box;4;
239;20;238;21-2207;55;54;;4;
240;27;239;21-2225;73;72;;1;Tail lamp support to fender
241;18;241;21-2230;49;48;;2;
242;17;242;21-7001;47;46;left;1;
243;17;244;21-7002;47;46;right;1;
244;16;246;21-7004;45;44;torque stay to swinging arm;1;
245;22;248;21-7005;61;60;disc to sprocket;4;
246;23;250;21-7006;63;62;push rod;2;"5/16"" UNF shouldered"
247;23;252;21-7007;63;62;master cylinder fixing;2;
248;18;255;21-7009;49;48;;2;
249;32;255;21-7009;83;82;;2;Flasher unit attach.
250;32;256;21-7010;83;82;rear stop switch;2;
251;20;266;37-0653;55;54;right (metric 120);1;
252;20;268;37-1237;55;54;right;2;
253;22;271;37-2294;61;60;;40;
254;20;271;37-2294;55;54;;40;
255;33;272;37-2331;87;84;;6;Flasher lamp stanchion
256;5;274;37-2338;19;18;Torque stay;2;
257;6;274;37-2338;23;22;Torque stay;2;
258;22;275;37-3468;61;60;;2;
259;22;276;37-3742;61;60;chain;2;
260;2;278;37-3761;11;10;ignition timing hole plug;1;
261;22;279;37-3965;61;60;;1;
262;20;281;37-3969;55;54;;0;As reqd.
263;22;281;37-3969;61;60;short;0;As required
264;20;282;37-3970;55;54;;0;As reqd.
265;22;282;37-3970;61;60;long;0;As required
266;20;283;37-4126;55;54;left half;1;
267;20;285;37-4127;55;54;right half;1;
268;20;287;37-4129;55;54;;1;
269;20;288;37-4130;55;54;inner;20;
270;20;290;37-4131;55;54;outer;20;
271;20;292;37-4132;55;54;;1;
272;20;293;37-4133;55;54;wheel spindle;1;
273;20;295;37-4134;55;54;left;1;
274;22;295;37-4134;61;60;left bearing;1;
275;20;296;37-4135;55;54;left;1;
276;22;296;37-4135;61;60;;2;
277;20;297;37-4141;55;54;;1;
278;20;298;37-4143;55;54;SPOKES AND HUB ASSEMBLY (complete);1;
279;22;302;37-4275;61;60;;1;
280;20;302;37-4275;55;54;;1;
281;22;305;37-7001;61;60;Ieft half;1;
282;22;307;37-7002;61;60;right half;1;
283;22;309;37-7003;61;60;,right bearing;1;
284;22;311;37-7004;61;60;speedometer unit;1;
285;22;313;37-7005;61;60;bearings;1;
286;22;315;37-7006;61;60;left bearing;1;
287;22;317;37-7007;61;60;outer,right;10;
288;22;319;37-7008;61;60;outer,left;10;
289;22;321;37-7009;61;60;inner,right and left;20;
290;22;323;37-7010;61;60;;1;
291;22;324;37-7016;61;60;rear wheel 47T;1;
292;22;326;37-7017;61;60;SPOKES AND HUB ASSEMBLY (complete);1;
293;22;328;37-7018;61;60;19;1;
294;22;330;37-7019;61;60;;1;
295;23;331;37-7020;63;62;;1;Replaces 37-7014. Order kit 00-4409 when servicing earlier machines
296;22;333;37-7021;61;60;speedometer drive gearbox *;0;* Used only with latest caliper plate 37-7020
297;12;355;57-0023;37;36;;1;
298;14;355;57-0023;41;40;;1;
299;12;356;57-0031;37;36;;1;
300;12;358;57-0047;37;36;;1;
301;20;359;57-0280;55;54;right;1;
302;13;361;57-0394;39;38;;20;
303;12;362;57-0404;37;36;;2;
304;12;363;57-0405;37;36;;2;
305;12;364;57-0407;37;36;;1;
306;11;365;57-0730;35;34;;1;
307;11;366;57-0731;35;34;;1;
308;2;367;57-0912;11;10;L/S at thrust washer;1;
309;9;369;57-0989;31;30;;2;
310;2;369;57-0989;11;10;;2;
311;20;370;57-1070;55;54;left (metric 125);1;
312;22;370;57-1070;61;60;left and right;2;
313;12;371;57-1167;37;36;;1;
314;11;372;57-1250;35;34;;1;
315;2;373;57-1257;11;10;;1;
316;13;374;57-1363;39;38;;6;
317;2;375;57-1606;11;10;layshaft;1;
318;12;379;57-1646;37;36;;1;
319;12;380;57-1710;37;36;;1;
320;12;381;57-1712;37;36;;1;
321;13;382;57-1722;39;38;;3;
322;13;383;57-1723;39;38;;3;
323;11;384;57-1736;35;34;;1;
324;2;385;57-1920;11;10;;0;Reference only
325;13;387;57-1931;39;38;;3;
326;12;388;57-1955;37;36;;1;
327;12;389;57-1956;37;36;;1;
328;11;390;57-1962;35;34;;1;
329;11;391;57-1963;35;34;;1;
330;13;392;57-2159;39;38;;1;
331;2;393;57-2166;11;10;;2;
332;12;393;57-2166;37;36;;1;
333;2;394;57-2167;11;10;;1;
334;12;395;57-2173;37;36;;1;
335;11;396;57-2240;35;34;;1;
336;2;397;57-2259;11;10;;1;
337;12;398;57-2330;37;36;;1;
338;15;399;57-2331;43;42;centre stand;1;
339;14;401;57-2450;41;40;;1;
340;13;402;57-2526;39;38;;3;
341;12;403;57-3673;37;36;;1;
342;12;404;57-3762;37;36;;1;
343;13;407;57-3929;39;38;;1;
344;13;408;57-3931;39;38;;1;
345;11;410;57-3988;35;34;;1;
346;11;412;57-4113;35;34;;1;
347;12;413;57-4117;37;36;;1;
348;12;414;57-4356;37;36;;1;
349;11;417;57-4376;35;34;;1;
350;11;418;57-4377;35;34;;1;
351;11;419;57-4379;35;34;;0;Reference only
352;11;421;57-4396;35;34;;1;
353;12;423;57-4403;37;36;;2;
354;11;424;57-4432;35;34;;1;
355;13;425;57-4435;39;38;;1;Not illus.
356;13;426;57-4436;39;38;;1;
357;13;427;57-4437;39;38;;1;
358;13;428;57-4438;39;38;;1;
359;12;430;57-4587;37;36;;1;18-24 inclusive
360;12;432;57-4588;37;36;;1;
361;12;433;57-4589;37;36;;1;
362;13;434;57-4590;39;38;;1;
363;13;435;57-4636;39;38;;1;
364;13;436;57-4640;39;38;;1;
365;13;437;57-4644;39;38;;3;
366;11;438;57-4647;35;34;;1;
367;11;439;57-4653;35;34;;1;
368;11;440;57-4654;35;34;;1;
369;11;441;57-4656;35;34;;1;
370;11;442;57-4657;35;34;;1;
371;11;443;57-4659;35;34;;1;
372;11;445;57-4661;35;34;;1;
373;13;446;57-4754;39;38;;3;
374;12;447;57-4756;37;36;;1;
375;13;448;57-4763;39;38;;6;
376;11;449;57-4781;35;34;;1;
377;11;450;57-4782;35;34;20T;1;
378;11;452;57-4787;35;34;;0;Reference only
379;11;454;57-4791;35;34;;0;Reference only
380;13;456;57-4794;39;38;;1;
381;11;458;57-4900;35;34;;1;
382;13;459;57-4903;39;38;;1;Not illus.
383;11;460;57-4909;35;34;;1;
384;14;462;57-7003;41;40;;1;
385;12;463;57-7008;37;36;;1;
386;14;464;57-7009;41;40;;1;
387;14;465;57-7010;41;40;;1;
388;12;469;57-7014;37;36;;1;
389;12;472;57-7017;37;36;;1;
390;12;473;57-7018;37;36;;1;
391;12;476;57-7021;37;36;;1;
392;32;477;60-0262;83;82;;2;CHAMPION
393;30;478;60-0291;79;78;;1;
394;31;479;60-0494;81;80;;1;
395;33;480;60-0622;85;84;;1;state serial number
396;19;481;60-0623;51;50;;1;
397;29;482;60-0683;77;76;twist grip to junction block;1;T140V - LOW BAR
398;29;484;60-0685;77;76;;1;T140V - UNIVERSAL
399;29;486;60-0732;77;76;;1;T140V - LOW BAR
400;29;488;60-0733;77;76;junction block to carburetor;2;T140V - HIGH BAR
401;29;488;60-0733;77;76;junction block to carburetor;2;T140V - LOW BAR
402;29;489;60-0746;77;76;;1;TR7RV - LOW BAR
403;30;491;60-0767;79;78;;1;
404;29;492;60-0777;77;76;;1;
405;32;493;60-0911;83;82;;2;CHAMPION
406;30;494;60-0971;79;78;;1;
407;30;495;60-0974;79;78;;1;
408;29;496;60-0978;77;76;;1;
409;30;497;60-1050;79;78;;1;
410;29;498;60-1806;77;76;;1;TR7RV - HIGH BAR
411;16;500;60-1841;45;44;;2;
412;30;501;60-1907;79;78;;1;
413;30;502;60-2084;79;78;open ended;1;
414;24;504;60-2087;67;66;;1;
415;14;505;60-2118;41;40;5/8 in. x 3/8 in. x 107 links;1;
