Id;PageItemID;XCoordinate;YCoordinate
1;825;420,9188537598;122,1993713379
2;825;419,2951965332;144,0475311279
3;826;418,3913574219;164,9020538330
4;827;287,8952026367;195,9975433350
5;801;324,6166076660;196,4517059326
6;822;417,8452148438;206,6475677490
7;755;77,7734375000;308,6489868164
8;816;136,5957183838;310,2500305176
9;816;166,8984069824;310,3505554199
10;617;188,7698211670;309,4978332520
11;856;235,2712554932;311,0511169434
12;736;414,0173339844;328,0015869141
13;785;409,6378173828;378,0489807129
14;857;257,9703979492;397,1000061035
15;737;322,8208618164;394,9503479004
16;642;409,5200195313;404,6491088867
17;681;98,6697311401;407,9010009766
18;598;115,3001174927;407,8992309570
19;676;128,6457214355;439,6000366211
20;658;145,5734405518;439,3489685059
21;622;170,6204071045;438,8500061035
22;497;405,7918090820;463,6980590820
23;754;370,7583923340;483,2507019043
24;810;381,8593444824;492,7512817383
25;648;321,5876159668;508,0063476563
26;783;240,7862854004;519,4003906250
27;649;290,6593322754;519,5012817383
28;784;189,9252014160;610,4489746094
29;636;232,3457183838;609,7500000000
30;517;273,3176574707;611,0500488281
31;792;338,4086914063;645,2515869141
32;771;409,6114807129;667,5985717773
33;220;66,4850540161;713,5502929688
34;631;114,0234375000;714,6489868164
35;804;189,4437561035;718,8485107422
36;805;233,1957244873;718,2500000000
37;751;259,4452209473;718,4475708008
38;1121;293,3468017578;719,5502929688
39;650;337,2703857422;719,4500732422
40;219;366,8203735352;719,5500488281
41;757;178,2975158691;110,7502059937
42;180;299,2741088867;116,2975082397
43;432;326,6251831055;115,3000564575
44;758;85,8526763916;121,4488754272
45;181;268,1731872559;120,7005538940
46;131;207,2979278564;134,9977264404
47;432;248,9731750488;135,7005615234
48;180;365,1475219727;133,9001617432
49;130;112,1744537354;146,6488037109
50;759;187,8478240967;155,9985504150
51;762;267,6526794434;157,7988586426
52;710;370,2402343750;157,7012023926
53;432;111,1231765747;164,7505493164
54;124;99,4731826782;179,6505126953
55;844;443,5398559570;189,3486022949
56;544;99,1296463013;193,2991790771
57;663;99,5731811523;208,3005371094
58;845;460,8239135742;209,0485382080
59;753;345,4466247559;218,6509094238
60;753;398,4630126953;216,1000213623
61;752;429,8013305664;222,9485626221
62;752;386,2491455078;244,1013336182
63;764;186,0526733398;287,1488342285
64;694;241,0644226074;288,3508605957
65;842;215,4407196045;299,6486206055
66;683;234,6750488281;308,1513977051
67;597;470,2663269043;307,0991516113
68;324;252,8296508789;345,9491577148
69;178;388,5481262207;349,7000122070
70;95;200,3062286377;356,4507446289
71;317;352,1079711914;361,6998901367
72;310;484,2263183594;370,0988464355
73;308;320,3487243652;377,7514343262
74;679;451,1369934082;376,6495666504
75;64;157,7526702881;384,8488464355
76;861;381,3450012207;387,9488220215
77;117;467,1417846680;388,7009582520
78;468;131,7011260986;393,4004821777
79;315;329,0251770020;397,4500732422
80;180;224,5792083740;405,0989990234
81;721;382,4932250977;401,9009399414
82;169;124,1796493530;410,6491699219
83;333;328,6265869141;411,1010742188
84;535;494,3164062500;414,7014465332
85;630;329,4544677734;421,7994079590
86;614;206,0902099609;427,5511779785
87;100;505,8402404785;425,9011840820
88;159;326,5527038574;435,2488708496
89;132;388,0751647949;451,8000793457
90;95;123,1562347412;467,9507446289
91;838;142,9871826172;496,1509704590
92;260;307,1152038574;498,5998840332
93;183;322,5481262207;497,1500244141
94;95;99,1562347412;536,5007324219
95;176;75,2231826782;559,9005737305
96;260;125,8152008057;565,1998901367
97;703;412,6265869141;564,9510498047
98;182;114,2231826782;575,4005126953
99;331;252,4663085938;574,4491577148
100;657;311,6739196777;580,8984985352
101;716;253,0292053223;585,8489990234
102;715;306,1791992188;590,4990234375
103;723;296,2731933594;599,4005126953
104;95;109,6549835205;613,1501464844
105;42;91,6291961670;634,6989746094
106;669;110,9013900757;663,4985351563
107;336;318,6526794434;707,9989013672
108;698;231,1231689453;718,2005004883
109;603;511,3280944824;165,6998596191
110;720;125,9044189453;205,3007354736
111;685;511,6798400879;213,0006256104
112;1225;511,3044128418;254,3007354736
113;727;125,4037322998;262,1979675293
114;189;515,4088745117;296,3007507324
115;647;514,4330444336;322,1996459961
116;837;126,1044158936;367,5507812500
117;448;377,0298461914;402,1006469727
118;599;376,3278808594;422,7526550293
119;628;376,7044067383;449,4007873535
120;684;404,7557983398;447,9526672363
121;179;101,1557922363;459,7026672363
122;705;352,3361816406;478,6976928711
123;711;295,6837463379;522,5987548828
124;712;257,2845458984;551,8981933594
125;704;224,7588348389;579,0007934570
126;479;164,5364074707;628,1983642578
127;802;384,8597106934;646,4506225586
128;957;252,4307556152;99,5983505249
129;127;260,0122680664;115,6994247437
130;550;259,8514404297;130,4486999512
131;800;283,4028930664;133,8001556396
132;814;357,7542114258;148,2014923096
133;741;434,1320800781;156,8483581543
134;799;322,4721984863;168,5009613037
135;793;279,0291137695;207,5010375977
136;815;283,5824279785;224,8999328613
137;729;260,4807434082;243,5983581543
138;731;251,1307067871;248,3003845215
139;80;241,4562377930;253,4507141113
140;186;342,8645629883;270,5010070801
141;539;272,1902465820;308,7487792969
142;187;258,1907348633;316,2998352051
143;674;460,0916137695;354,2498168945
144;199;241,1662139893;357,9499206543
145;728;202,5162200928;380,3999328613
146;730;192,2162170410;387,2499389648
147;78;181,0916137695;393,3498229980
148;813;417,0864257813;408,0993041992
149;199;307,5178222656;437,9986572266
150;724;263,6814880371;537,8498535156
151;725;348,0021057129;540,1489257813
152;629;428,9622802734;542,1494750977
153;1012;456,8359985352;544,7999877930
154;701;348,6407165527;614,6486206055
155;849;265,3620605469;619,4494018555
156;718;349,1860046387;635,1500244141
157;125;84,7850494385;128,1510925293
158;502;102,1360244751;134,0007324219
159;818;112,3364639282;137,7498474121
160;820;126,4906616211;140,7485046387
161;133;60,7850494385;153,4510650635
162;746;274,0864562988;168,7998352051
163;634;275,6630554199;190,6494293213
164;105;404,7906494141;209,8484802246
165;779;262,1611022949;212,7514648438
