Id;PartNumber;MakersPartNumber;Description
1;06-5638;SSM4 3/;Speedometer head - MPH
2;06-8019;41;Main bulb (Europe, except France)
3;06-8020;411;Main bulb (France)
4;06-8024;3466;Light switch (Canada only)
5;06-8029;56515;STOP TAIL LAMP
6;06-8048;5452268;Light unit (Europe)
7;06-8058;54585314;Lens
8;14-0101;;"BOLT-1/4"" X 1/2"" UNF-HAF 0.438"""
9;14-0102;;"BOLTS-1/4"" X 5/8"" UNF-HAF 0.438"""
10;14-0103;;"BOLTS-1/4"" X 3/4"" UNF-HAF 0.438"""
11;14-0107;;Screw
12;14-0113;;"BOLTS-5/16"" X 5/8"" UNF-HAF 0.500"""
13;14-0114;;"BOLTS-5/16"" X 3/4"" UNF-HAF 0.500"""
14;14-0115;;"BOLTS-5/16"" X 7/8"" UNF-HAF 0.500"""
15;14-0116;;Bolt
16;14-0128;;"BOLTS-3/8"" X UNF-HAF 0.563"""
17;14-0129;;Bolt
18;14-0201;;Bolt
19;14-0206;;Bolt
21;14-0208;;"BOLTS-1/4"" X 2 1/4"" UNF-MLT 3/4""-HAF 0.438"""
23;14-0216;;"BOLTS-5/16"" X 1 1/8"" UNF-MLT 7/8""-HAF 0.500"""
25;14-0217;;"BOLTS-5/16"" X 1 1/4"" UNF-MLT 7/8""-HAF 0.500"""
26;14-0218;;Bolt
28;14-0219;;"BOLTS-5/16"" X 1 1/2"" UNF-MLT 7/8""-HAF 0.500"""
30;14-0220;;"BOLTS-5/16"" X 1 3/4"" UNF-MLT 7/8""-HAF 0.500"""
31;14-0221;;Bolt
32;14-0225;;"BOLTS-5/16"" X 3"" UNF-MLT 7/8""-HAF 0.500"""
33;14-0228;;"BOLTS-5/16"" X 4"" UNF-MLT 7/8""-HAF 0.500"""
34;14-0230;;Bolt
35;14-0232;;Bolt
37;14-0234;;"BOLTS-3/8"" X 1 3/4"" UNF-MLT 1""-HAF 0.563"""
38;14-0235;;Bolt
39;14-0236;;"BOLTS-3/8"" X 2 1/4"" UNF-MLT 1""-HAF 0.563"""
40;14-0237;;Pinch bolt
41;14-0239;;"BOLTS-3/8"" X 3"" UNF-MLT 1""-HAF 0.563"""
42;14-0240;;"BOLTS-3/8"" X 3 1/4"" UNF-MLT 1""-HAF 0.563"""
44;14-0241;;"BOLTS-3/8"" X 4"" UNF-MLT 1""-HAF 0.563"""
45;14-0242;;"BOLTS-3/8"" X 4"" UNF-MLT 1""-HAF 0.563"""
46;14-0251;;"BOLTS-7/16"" X 2 3/4"" UNF-MLT 1 1/4""-HAF 0.625"""
47;14-0254;;Bolt
48;14-0259;;Bolt
49;14-0261;;Bolt
50;14-0301;;"NUTS-1/4"" UNF-HAF 0.224""-Thick 0.438"" Plain"
52;14-0302;;"NUTS-5/16"" UNF-HAF 0.271""-Thick 0.500"" Plain"
53;14-0304;;Nutd
54;14-0401;;"NUTS-1/4"" UNF-HAF 0.161""-Thick 0.438"""
