Id;SectionId;PartId;Reference;PageNumber;AdditionalInfo;Quantity;Remarks
1;31;1;1;80;MPH;1;
2;33;2;1;84;Europe, except France;1;
3;33;3;7;84;France;1;
4;33;4;15;84;;1;Canada only
5;27;5;11;72;;1;
6;33;6;3;84;;1;Europe
7;27;7;12;72;;1;
8;26;8;4;70;;2;Bolt, rear stay to blade
9;26;8;14;70;;2;Fender top fixing
10;24;8;28;66;;4;Hinge Attachment
11;23;8;52;62;"1/4"" UNF x 5/8"" UH";1;mounting to coil tray
12;26;8;;70;;4;Number plate attachment
13;32;9;2;82;;1;Coil and tool tray attachment, rear.
14;27;9;8;72;;4;No. plate brackets and support plate to fender
15;25;9;20;68;;4;
16;18;9;21;48;;4;Muffler to hanger
17;26;9;21;70;;2;Bridge to fender
18;26;9;25;70;;2;Grab rail to fender
19;23;9;45;62;"1/4"" UNF x 5/8"" UH";1;body to mounting
20;26;10;11;70;;2;bridge piece to fork leg
21;23;10;16;62;"1/4"" UNF x 3/8"" U.H .";1;adjuster,stop light
22;32;10;28;82;;2;Horn attachment
23;21;10;35;56;;2;Bracket to fork leg and bridge piece
24;22;11;20;60;"chain adjuster (1/4"" UNF x 1 1/2"" UH)";2;
25;24;12;11;66;;2;
26;26;13;17;70;;2;Fender front fixing
27;15;13;43;42;;1;Prop stand stop
28;23;13;57;62;;1;master cylinder/plate fixing rear
29;17;14;20;46;;4;Rear motor plates to frame
30;17;15;21;46;;1;Rear motor plates to frame
31;17;17;40;46;;1;Bracket to frame
32;14;18;31;40;;1;
33;16;19;31;44;;1;chainguard fixing front
34;9;21;9;30;;1;
35;17;23;9;46;;2;Footrest swivel
36;18;25;11;48;;2;Exhaust pipes to coupling pipe
37;25;26;11;68;;2;All models - left assy to right assy
38;18;28;16;48;;2;Exhaust pipes to mufflers
39;17;30;24;46;;2;Motor to motor plates
40;25;31;5;68;;2;All models - Cover to body
41;17;31;25;46;;2;Motor to motor plates
42;2;34;28;10;;1;long,crankcase halves
43;23;35;12;62;;2;caliper to mounting
44;19;37;3;50;;1;
45;16;37;26;44;;2;damper,lower
46;16;38;23;44;;2;damper,top
47;19;40;15;50;;1;RIGHT
48;5;44;29;18;;4;cylinder head
49;6;44;29;22;;4;cylinder head
50;17;47;36;46;;1;Motor fixing front
51;17;48;3;46;;1;Footrest-Left
52;17;49;2;46;;1;Footrest-Right
53;27;50;4;72;;1;Tail lamp support to fender
54;12;50;14;36;;4;
55;23;50;17;62;"1/4"" UNF";1;adjuster screw
56;22;50;21;60;;2;"chain adjuster screw (1/4"" UNF)"
